Name,Party,Riding,Province,Status,ElectionNum
"MATTHEWS, Florence ",New Democratic Party,CHURCHILL,Manitoba,0,26
"MILES, Pauline ",Progressive Conservative,DAVENPORT,Ontario,0,26
"MILLAR, Helen ",Independent,FRASER VALLEY,British Columbia,0,26
"MILLAR, Jean ",Progressive Conservative,KENORA--RAINY RIVER,Ontario,0,26
"MUNNIK, Dorothy Jean ",Social Credit Party of Canada,VANCOUVER EAST,British Columbia,0,26
"MURPHY, Edna ",Progressive Conservative,HUMBER--ST. GEORGE'S,Newfoundland and Labrador,0,26
"OUELLET, Rachel ",New Democratic Party,LAC-SAINT-JEAN,Quebec,0,26
"PELLETIER, Claire Lizotte ",Progressive Conservative,MONTMAGNY--L'ISLET,Quebec,0,26
"PIDRUCHNEY, Anna ",Independent,VEGREVILLE,Alberta,0,26
"POTHECARY, Isobel ",New Democratic Party,OKANAGAN--REVELSTOKE,British Columbia,0,26
"PRATTE, Jeannette ",Communist Party of Canada,HOCHELAGA,Quebec,0,26
"RIVARD, Andrée-Robert ",Liberal,PORTNEUF,Quebec,0,26
"SLOAN, Olive E. Calvert ",Social Credit Party of Canada,PARKDALE,Ontario,0,26
"SOUTHIN, Mary Frances ",Progressive Conservative,COAST-CAPILANO,British Columbia,0,26
"STEEVES, Dorothy Gretchen ",New Democratic Party,VANCOUVER QUADRA,British Columbia,0,26
"TOWNSEND, Ruth ",New Democratic Party,OTTAWA EAST,Ontario,0,26
"VAN MAARION, Edith A. ",Social Credit Party of Canada,KOOTENAY WEST,British Columbia,0,26
"ALSOP, Edith ",New Democratic Party,LISGAR,Manitoba,0,27
"ANDREWS, Lenore Ramsland ",Liberal,PRINCE ALBERT,Saskatchewan,0,27
"BARRETT, Anne ",New Democratic Party,HIGH PARK,Ontario,0,27
"BRAITHWAITE, Hazel Eva ",New Democratic Party,RED DEER,Alberta,0,27
"BREWIN, Martha ",New Democratic Party,YORK WEST,Ontario,0,27
"CAFFYN, Margaret ",New Democratic Party,OXFORD,Ontario,0,27
"CHEFURKA, Pat ",New Democratic Party,MIDDLESEX WEST,Ontario,0,27
"CHONG, Gladys ",Progressive Conservative,VANCOUVER EAST,British Columbia,0,27
"COCHRANE, Felicity ",Progressive Conservative,PARKDALE,Ontario,0,27
"DEARBORN, Dorothy ",Liberal,ROYAL,New Brunswick,0,27
"DINELLE, Réjeanne ",New Democratic Party,SAINT-DENIS,Quebec,0,27
"DOUGLAS, Jean ",Progressive Conservative,NIAGARA FALLS,Ontario,0,27
"FERRON, Monique ",New Democratic Party,OUTREMONT--ST-JEAN,Quebec,0,27
"FIELDING, Dianne Mary ",New Democratic Party,KENT,Ontario,0,27
"FULLERTON, Margaret ",Liberal,LONDON,Ontario,0,27
"GIETZ, Thora ",Social Credit Party of Canada,REGINA CITY,Saskatchewan,0,27
"GRANTHAM, Frances Joyce ",New Democratic Party,LETHBRIDGE,Alberta,0,27
"JEWETT, Pauline ",Liberal,NORTHUMBERLAND,Ontario,0,27
"KINZEL, Constance E. ",New Democratic Party,ROSTHERN,Saskatchewan,0,27
"KONANTZ, Margaret ",Liberal,WINNIPEG SOUTH,Manitoba,0,27
"LAFLÈCHE, Gertrude ",Independent Liberal,HULL,Quebec,0,27
"LALONDE, Mariette ",New Democratic Party,BELLECHASSE,Quebec,0,27
"LAMARSH, Judy ",Liberal,NIAGARA FALLS,Ontario,1,27
"LEECH, Alma ",Social Credit Party of Canada,MOOSE JAW--LAKE CENTRE,Saskatchewan,0,27
"LESSARD, Gertrude ",Progressive Conservative,LAFONTAINE,Quebec,0,27
"LINNELL, Marianne ",Progressive Conservative,VANCOUVER--BURRARD,British Columbia,0,27
"MACBETH, C. Isabel ",Liberal,PERTH,Ontario,0,27
"MACINNIS, Grace ",New Democratic Party,VANCOUVER KINGSWAY,British Columbia,1,27
"MILLAR, Jean ",Progressive Conservative,KENORA--RAINY RIVER,Ontario,0,27
"MORIN, Beverley ",New Democratic Party,GATINEAU,Quebec,0,27
"MORIN, Jeanne d'Arc ",New Democratic Party,LONGUEUIL,Quebec,0,27
"NUGENT, Emelia ",New Democratic Party,RESTIGOUCHE--MADAWASKA,New Brunswick,0,27
"PIPES, Vera I. ",Social Credit Party of Canada,ESQUIMALT--SAANICH,British Columbia,0,27
"RIDEOUT, Margaret ",Liberal,WESTMORLAND,New Brunswick,1,27
"SOUTHIN, Mary ",Progressive Conservative,VANCOUVER SOUTH,British Columbia,0,27
"WADDS, Jean ",Progressive Conservative,GRENVILLE--DUNDAS,Ontario,1,27
"WALSH, Jeannette ",Communist Party of Canada,SAINT-HENRI,Quebec,0,27
"ALSOP, Edith ",New Democratic Party,LISGAR,Manitoba,0,28
"ARMSTRONG, Kay ",Progressive Conservative,PARKDALE,Ontario,0,28
"BERNIER, Lucette ",New Democratic Party,MERCIER,Quebec,0,28
"BRUCE, Patricia ",New Democratic Party,HAMILTON WEST,Ontario,0,28
"CHARRON-LABRIE, Aurore ",Progressive Conservative,TÉMISCAMINGUE,Quebec,0,28
"COOK, June E. ",New Democratic Party,ST. CATHARINES,Ontario,0,28
"CRAWFORD, Mildred A. ",Independent Progressive Conservative,SAINT JOHN--LANCASTER,New Brunswick,0,28
"GREEN, Lorena T. ",Social Credit Party of Canada,VANCOUVER KINGSWAY,British Columbia,0,28
"HAMEL, Yvette ",Ralliement Créditiste,DOLLARD,Quebec,0,28
"HOULE, Lise ",Ralliement Créditiste,ARGENTEUIL,Quebec,0,28
"JACKSON, Margaret I. ",New Democratic Party,CALGARY CENTRE,Alberta,0,28
"JESSENS, Ieva ",New Democratic Party,CAPE BRETON HIGHLANDS--CANSO,Nova Scotia,0,28
"KIPPERS, Hendrien ",New Democratic Party,FUNDY--ROYAL,New Brunswick,0,28
"KNIGHT, Betty M. ",Progressive Conservative,BROADVIEW,Ontario,0,28
"LAVALLEE, Carole D. ",Independent,MEADOW LAKE,Saskatchewan,0,28
"LAVOIE, Jeanne ",Social Credit Party of Canada,COCHRANE,Ontario,0,28
"MACINNIS, Grace ",New Democratic Party,VANCOUVER KINGSWAY,British Columbia,1,28
"MARLEAU, Huguette ",Progressive Conservative,MOUNT ROYAL,Quebec,0,28
"MORIN, Lucille ",New Democratic Party,MONTMORENCY,Quebec,0,28
"MURRAY, Margaret ",New Democratic Party,DON VALLEY,Ontario,0,28
"PEMBERTON, Gwen ",New Democratic Party,LONDON WEST,Ontario,0,28
"PROULX-MORGAN, Lise ",New Democratic Party,RICHELIEU,Quebec,0,28
"RALPH, June B. ",New Democratic Party,OTTAWA CENTRE,Ontario,0,28
"RIDEOUT, Margaret ",Liberal,MONCTON,New Brunswick,0,28
"RINFRET-BÉDARD, Nicole ",New Democratic Party,RICHMOND,Quebec,0,28
"ROMANIUK, Anne ",New Democratic Party,PEMBINA,Alberta,0,28
"SABIA, Laura ",Progressive Conservative,ST. CATHARINES,Ontario,0,28
"SMITH, Robin ",Communist Party of Canada,VANCOUVER SOUTH,British Columbia,0,28
"STUART, Lois M. ",New Democratic Party,NORFOLK--HALDIMAND,Ontario,0,28
"SUMMERS, Mary ",New Democratic Party,ST. JOHN'S EAST,Newfoundland and Labrador,0,28
"SYME, Evelyn ",New Democratic Party,DAUPHIN,Manitoba,0,28
"THOMPSON, Frances ",New Democratic Party,WINNIPEG SOUTH CENTRE,Manitoba,0,28
"VALENTINE, Anne ",New Democratic Party,SAULT STE. MARIE,Ontario,0,28
"WADDS, Jean ",Progressive Conservative,GRENVILLE--CARLETON,Ontario,0,28
"WALSH, Jeannette ",Communist Party of Canada,HOCHELAGA,Quebec,0,28
"WEARY, Shirley M. ",New Democratic Party,HURON,Ontario,0,28
"ADAMS, Martha ",Independent,SAINT-HYACINTHE,Quebec,0,29
