"ID","name","exitDataSet","lastElection","termsServed","finalVotePct","Party","needGhostRow"
7982,"WOOLLIAMS, Eldon",1,"1979-05-22",7,64.26,"P.C.",1
7987,"SMITH, Art",1,"1962-06-18",2,46.43,"P.C.",1
7990,"LAMBERT, Marcel",1,"1980-02-18",9,56.23,"P.C.",1
8000,"KINDT, Lawrence E.",1,"1965-11-08",3,44.32,"P.C.",1
8007,"BALDWIN, Ged",1,"1979-05-22",7,63.14,"P.C.",1
8017,"FANE, Frank J.W.",1,"1965-11-08",3,69.77,"P.C.",1
8060,"FLEMING, Stuart A.",1,"1963-04-08",2,35.17,"P.C.",1
8083,"MCPHILLIPS, Albert De Burgo",1,"1962-06-18",2,36.06,"P.C.",1
8088,"SIMPSON, Robert",1,"1968-06-25",5,41.77,"P.C.",1
8093,"MUIR, George",1,"1968-06-25",5,51.68,"P.C.",1
8096,"MANDZIUK, Nick",1,"1965-11-08",4,52.07,"P.C.",1
8099,"FAIRFIELD, George C.",1,"1958-03-31",1,65.58,"P.C.",1
8139,"MACRAE, J. Chester",1,"1968-06-25",5,55.39,"P.C.",1
8148,"MUIR, Bob",1,"1974-07-08",7,44.2,"P.C.",1
8150,"MACINNIS, Donald",1,"1972-10-30",3,38.69,"P.C.",1
8151,"KENNEDY, Cyril F.",1,"1965-11-08",4,51.54,"P.C.",1
8152,"COATES, Robert C.",1,"1984-09-04",10,57.3,"P.C.",1
8154,"MCCLEAVE, Bob",1,"1974-07-08",3,51.08,"P.C.",1
8156,"MACEWAN, Russell",1,"1968-06-25",5,58.57,"P.C.",1
8159,"CROUSE, Lloyd R.",1,"1984-09-04",10,56.69,"P.C.",1
8206,"NOBLE, Percy V.",1,"1968-06-25",5,47,"P.C.",1
8209,"WINKLER, Eric A.",1,"1965-11-08",4,57.99,"P.C.",1
8237,"HALPENNY, G. Ernest",1,"1962-06-18",2,51.42,"P.C.",1
8241,"THOMAS, W.H.A.",1,"1965-11-08",4,45.99,"P.C.",1
8249,"THOMPSON, Ben",1,"1958-03-31",1,64.04,"P.C.",1
8262,"AIKEN, Gordon",1,"1968-06-25",5,47.73,"P.C.",1
8270,"FISHER, Douglas M.",1,"1963-04-08",3,45.35,"N.D.P.",1
8272,"MILLIGAN, Clarence Adam",1,"1958-03-31",1,70.75,"P.C.",1
8284,"SMITH, Heber",1,"1965-11-08",4,45.54,"P.C.",1
8299,"HAIDASZ, Stan",1,"1974-07-08",5,52.29,"Lib",1
8310,"ANDERSON, William",1,"1958-03-31",1,60.48,"P.C.",1
8337,"PHILLIPS, Orville H.",1,"1962-06-18",2,49.33,"P.C.",1
8339,"MACQUARRIE, Heath",1,"1974-07-08",7,50.36,"P.C.",1
8349,"PAUL, Remi",1,"1963-04-08",2,41.57,"P.C.",1
8404,"COMTOIS, Paul",1,"1958-03-31",1,62.2,"P.C.",1
8432,"RICARD, J. H. Theogene",1,"1968-06-25",5,47.44,"P.C.",1
8444,"LOISELLE, Gerard",1,"1974-07-08",7,52.02,"Lib",1
8455,"CAOUETTE, Real",1,"1974-07-08",5,63.91,"Ind.",1
8474,"SOUTHAM, Richard R.",1,"1968-06-25",4,42.14,"P.C.",1
